NO_OF_FRAMES	1920
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-02-20, 16:34:23	479140.61788143
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	
263	1.09583	784.201	990.705	1497.414	695.628	803.062	1242.897	869.053	761.288	1396.863
264	1.10000	784.059	990.909	1497.413	695.229	803.201	1242.900	869.447	760.518	1396.343
265	1.10417	783.870	991.095	1497.526	694.753	803.489	1243.208	869.220	759.480	1395.479
266	1.10833	783.729	991.296	1497.490	694.243	803.676	1243.468	869.232	758.506	1394.408
267	1.11250	783.536	991.477	1497.526	693.667	804.002	1243.539	869.262	757.623	1393.744
268	1.11667	783.332	991.695	1497.559	693.390	804.173	1243.808	869.358	756.565	1392.885
269	1.12083	783.159	991.903	1497.511	693.143	804.098	1244.226	869.512	755.381	1392.348
270	1.12500	783.014	992.105	1497.448	692.309	804.720	1244.102	869.631	754.262	1391.919
271	1.12917	782.856	992.254	1497.411	691.889	804.861	1244.325	869.823	753.044	1391.368
272	1.13333	782.618	992.426	1497.462	691.541	805.073	1244.641	869.461	751.863	1390.592
273	1.13750	782.463	992.697	1497.450	690.326	805.550	1245.452	869.451	750.502	1389.633
274	1.14167	782.320	992.854	1497.398	690.070	805.646	1245.608	869.147	748.660	1388.356
275	1.14583	782.221	993.051	1497.518	689.629	805.901	1245.597	869.596	747.165	1387.505
276	1.15000	781.928	993.196	1497.464	689.324	806.138	1245.610	869.846	745.834	1386.577
277	1.15417	781.867	993.352	1497.523	688.734	806.306	1245.435	870.271	744.289	1385.239
278	1.15833	781.750	993.562	1497.573	688.240	806.536	1245.448	870.625	742.677	1383.998
279	1.16250	781.600	993.713	1497.631	687.937	806.665	1245.360	870.660	740.768	1382.290
280	1.16667	781.365	993.880	1497.614	687.525	806.927	1245.642	870.434	738.862	1380.881
281	1.17083	781.202	994.083	1497.615	687.013	807.026	1245.512	870.888	736.878	1380.041
282	1.17500	781.176	994.172	1497.710	686.606	807.146	1245.626	870.859	734.967	1378.921
283	1.17917	780.937	994.346	1497.667	685.637	806.547	1245.411	871.182	733.003	1376.941
284	1.18333	780.905	994.419	1497.804	685.575	806.987	1245.687	871.589	731.175	1374.309
